"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17199","Calculation Testing | Scenario=S10 | Mode=UPI INTENT | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:31:47 IST 2025","passed","Thu Sep 25 13:32:04 IST 2025","TestCalculations","Calculation_test","",""
"","58435","Calculation Testing | Scenario=S17 | Mode=Net Banking | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 17:12:47 IST 2025","broken","Thu Sep 25 17:13:45 IST 2025","TestCalculations","Calculation_test","",""
"","48970","Calculation Testing | Scenario=S17 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:17:17 IST 2025","broken","Thu Sep 25 17:18:06 IST 2025","TestCalculations","Calculation_test","",""
"","16729","Calculation Testing | Scenario=S11 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:41:13 IST 2025","passed","Thu Sep 25 13:41:29 IST 2025","TestCalculations","Calculation_test","",""
"","16539","Calculation Testing | Scenario=S12 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:25:08 IST 2025","passed","Thu Sep 25 14:25:25 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","17997","Calculation Testing | Scenario=S5 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 11:23:28 IST 2025","passed","Thu Sep 25 11:23:46 IST 2025","TestCalculations","Calculation_test","",""
"","18900","Calculation Testing | Scenario=S7 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:39:13 IST 2025","passed","Thu Sep 25 12:39:32 IST 2025","TestCalculations","Calculation_test","",""
"","17908","Calculation Testing | Scenario=S8 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:48:49 IST 2025","passed","Thu Sep 25 12:49:07 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","15951","Calculation Testing | Scenario=S2 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 10:43:25 IST 2025","passed","Thu Sep 25 10:43:41 IST 2025","TestCalculations","Calculation_test","",""
"","19805","Calculation Testing | Scenario=S10 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:17:30 IST 2025","passed","Thu Sep 25 13:17:50 IST 2025","TestCalculations","Calculation_test","",""
"","16240","Calculation Testing | Scenario=S13 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 14:47:25 IST 2025","passed","Thu Sep 25 14:47:41 IST 2025","TestCalculations","Calculation_test","",""
"","16786","Calculation Testing | Scenario=S15 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 15:17:25 IST 2025","passed","Thu Sep 25 15:17:42 IST 2025","TestCalculations","Calculation_test","",""
"","17121","Calculation Testing | Scenario=S10 | Mode=Net Banking | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:19:22 IST 2025","passed","Thu Sep 25 13:19:39 IST 2025","TestCalculations","Calculation_test","",""
"","19560","Calculation Testing | Scenario=S7 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:43:07 IST 2025","passed","Thu Sep 25 12:43:26 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16516","Calculation Testing | Scenario=S4 | Mode=NEFT/RTGS | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 11:08:31 IST 2025","passed","Thu Sep 25 11:08:47 IST 2025","TestCalculations","Calculation_test","",""
"","16761","Calculation Testing | Scenario=S15 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:06:33 IST 2025","passed","Thu Sep 25 15:06:50 IST 2025","TestCalculations","Calculation_test","",""
"","16672","Calculation Testing | Scenario=S12 | Mode=NEFT/RTGS | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:22:37 IST 2025","passed","Thu Sep 25 14:22:54 IST 2025","TestCalculations","Calculation_test","",""
"","28527","Calculation Testing | Scenario=S18 | Mode=Credit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:17:08 IST 2025","broken","Thu Sep 25 17:17:37 IST 2025","TestCalculations","Calculation_test","",""
"","36134","Calculation Testing | Scenario=S10 | Mode=RTGS | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:29:12 IST 2025","broken","Thu Sep 25 13:29:48 IST 2025","TestCalculations","Calculation_test","",""
"","18630","Calculation Testing | Scenario=S11 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:46:17 IST 2025","passed","Thu Sep 25 13:46:36 IST 2025","TestCalculations","Calculation_test","",""
"","48403","Calculation Testing | Scenario=S17 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:10:47 IST 2025","broken","Thu Sep 25 17:11:36 IST 2025","TestCalculations","Calculation_test","",""
"","37843","Calculation Testing | Scenario=S18 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 17:10:44 IST 2025","passed","Thu Sep 25 17:11:22 IST 2025","TestCalculations","Calculation_test","",""
"","19573","Calculation Testing | Scenario=S10 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 13:27:11 IST 2025","passed","Thu Sep 25 13:27:31 IST 2025","TestCalculations","Calculation_test","",""
"","11452","Calculation Testing | Scenario=S16 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:42:20 IST 2025","failed","Thu Sep 25 15:42:31 IST 2025","TestCalculations","Calculation_test","",""
"","17087","Calculation Testing | Scenario=S14 | Mode=Net Banking | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:50:15 IST 2025","passed","Thu Sep 25 14:50:32 IST 2025","TestCalculations","Calculation_test","",""
"","17345","Calculation Testing | Scenario=S13 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:41:38 IST 2025","passed","Thu Sep 25 14:41:55 IST 2025","TestCalculations","Calculation_test","",""
"","18301","Calculation Testing | Scenario=S10 | Mode=Debit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:17:03 IST 2025","passed","Thu Sep 25 13:17:21 IST 2025","TestCalculations","Calculation_test","",""
"","0","test_calculation_amount[S20-UPI INTENT-1-1000-100-DJ050-STAGING]","testCases","Thu Sep 25 17:24:54 IST 2025","broken","Thu Sep 25 17:24:54 IST 2025","TestCalculations","Calculation_test","",""
"","18748","Calculation Testing | Scenario=S6 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 12:19:47 IST 2025","passed","Thu Sep 25 12:20:06 IST 2025","TestCalculations","Calculation_test","",""
"","19831","Calculation Testing | Scenario=S16 | Mode=Credit Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 15:41:15 IST 2025","passed","Thu Sep 25 15:41:35 IST 2025","TestCalculations","Calculation_test","",""
"","20308","Calculation Testing | Scenario=S12 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:32:15 IST 2025","passed","Thu Sep 25 14:32:36 IST 2025","TestCalculations","Calculation_test","",""
"","16789","Calculation Testing | Scenario=S14 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:56:34 IST 2025","passed","Thu Sep 25 14:56:51 IST 2025","TestCalculations","Calculation_test","",""
"","19176","Calculation Testing | Scenario=S9 | Mode=RuPay Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 13:10:54 IST 2025","passed","Thu Sep 25 13:11:14 IST 2025","TestCalculations","Calculation_test","",""
"","18094","Calculation Testing | Scenario=S7 | Mode=NEFT/RTGS | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:33:43 IST 2025","passed","Thu Sep 25 12:34:01 IST 2025","TestCalculations","Calculation_test","",""
"","7503","Calculation Testing | Scenario=S13 | Mode=BHIM UPI QR | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 14:42:01 IST 2025","failed","Thu Sep 25 14:42:08 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16691","Calculation Testing | Scenario=S1 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 10:23:27 IST 2025","passed","Thu Sep 25 10:23:44 IST 2025","TestCalculations","Calculation_test","",""
"","17170","Calculation Testing | Scenario=S14 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 14:51:03 IST 2025","passed","Thu Sep 25 14:51:20 IST 2025","TestCalculations","Calculation_test","",""
"","16622","Calculation Testing | Scenario=S10 | Mode=BHIM UPI QR | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:26:48 IST 2025","passed","Thu Sep 25 13:27:05 IST 2025","TestCalculations","Calculation_test","",""
